,Wizkid,Davido,Burnaboy
9664,"Avoid people that say "" I'm a fan of Davido, Wizkid &amp; Burna boy they can betray you in a blink of an eye",If wizkid burna boy and davido eventually make a song who will spoil the song ?,The beat came on and I did a Freestyle to Burna boy 23 help me retweet if you love this ❤️  TWICEASTALL https:/…
9665,"Me: I'm addicted Wizkid Songs. How can I stop?

Therapist: You need to find True Love &amp; SMILE always 

Me: …",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,"3 years ago today,  released his third album ""OUTSIDE""

The critically acclaimed album containing one of Africa…"
9666,"Here’s a song for you… Smile (feat. H.E.R.) by WizKid
WizkidFCSP
","TheBestVideoTomorrow is gonna be the best video for the year 2021.
Tanana: you think I'm made in Lagos abi?
 Holy Ground:…", champion
9667,"eu  🤝 novo álbum do Wizkid

",".'s ""AYE"" Now Has 4.5 Million Streams On ", 🦍
9668,"Wizkid is at number 159 on global digital artist ranking chart 📉
🐐",Davido always makes sure you enjoy any song he is on.... always a vibe mahnn 😅,   Even him self go Don dey fgt😂😂😂
9669,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","Lmao, Davido na pure cruise jor! 😂 😂 ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9670,"Wizkid’s album Made in Lagos is so good that there is a song for every moment. Classic body of work  

I find my se…","Beautiful people on twitter, here is my pen sketch of  which I drew last year.
Please retweet🙏🏾

CHEWOL silho…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9671,This WizKid album is GOLD,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,"Today in 2018, 's ""Outside"" album was officially released. "
9672,Inside Wizkid's album,"Davido's Fastest Music Videos To Hit 1M On Youtube 
-FEM(7 Hours)
~BLOW MY MIND Ft  (10 Hours)
~JOWO(19 Hours)…",Hi  why did you have to go hard like that on level up?
9673,  Wizkid is a monumental superstar. Being one of the forerunners in the Afrobeats to the World” moveme… ,"23 International Gumbody in a year, 23 FAILED INTERNATIONAL GUMBODY by Davido in 2020 !!!! 💔🙆

No Awards, No Major Chart Entr…","With over 150 Million streams on spotify, Outside by  is the fourth most streamed album in Africa on the platfo…"
9674,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","OBO  x Of Laylay  !! ""The best""Video out tomorrow at 5pm WAT!
Sho get oh 🧏🏾‍♂️!!
KingTundeEdnut 30…","Burna Boy - Heavens Gate.

"
9675,Damn ! Wizkid no stress issa hard jam !! 🔥🔥🔥🔥,"'THe Best"" video tomorrow...

Davido is ready to mud gang of London again...

3weeks now.  &amp; e never reach 5m😂😂😂 biggest son…",Burna Boy freestyling at my uni in 2009! 💫🔥 burnaboy  
9676,"Skepta : everything mad when i pull up with the goons, Ciroc boys ain’t f*ckin with Goose.

Wizkid: lai lai! 😂 …", yes na hashtag davido perform for O2 👍," Please support a growing business by RETWEETING

I'm BOBOSHOES &amp; I make SHOES like these for a living

Go… "
9677,"wizkid tried to sell out the O2 he couldn't sell it out completely, even after including alot of top Artistes.. out of 20…",".'s ""AYE"" Now Has 4.5 Million Streams On "," and Ye ❤️🔥✊🏿💕😩😩 
Rihanna 
Burnaboy 
outside "
9678,Say we never tell nobody when the song go drop -Wizkid ,Davido is the only Artist that has fully sold out 02 Arena Till date both wizkid and co can't pull this type of crowd Davido…,"3 years ago today,  released ""Outside"" album,
Delivered one of the biggest afrobeats song ever ""YE"".
What are y…"
9679,"“One good thing about music, when it hits you,you  feel no pain” Bob Marley 

“You see this music,It gets you excited,…","“AYE” by  has 4,500,000+ Pandora streams🏆

30BG",  Devil in California
9680,"DAVIDO did 20K capacity solo✅

WIZKID pack Entire Nigeria musician and still couldn't sell more than 14K capacity😩

NAIRA MARL…",no other African act has had a better concert than davido at the o2..,"Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
9681,"WizKid will perform a leak song and A 20K capacity venue will sing word for word.

Do am if e easy",   💃💃,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9682,"BURNABOY 
WIZKID
DRAKE
DAMIAN MARLEY 
RIHANNA",I no hate o buh Davido is the first DavidoAt02,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9683,"Wizkid is breaking all the records they sets, but it only takes Wizkid to break his own records. 🐐 

These ni66az ain't…", You are de best obviously even without you proclaiming it yourself the world knows fact  numberone echoke,"  Destiny 
Yea
Giddem
Calm down
Where I'm from 
Outside 
Devil in California"
9684,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",davido spent over £60k on visas and flights  just to get his people to his concert at the o2 Arena. he said even his cook w…,Burna Boy freestyling at my uni in 2009! 💫🔥 burnaboy  
9685,Name a better album of the decade that is bigger/better than Wizkid's Made In Lagos in the whole of Africa.. I'll wait. I ge…,  Another monster hit loading by the GOAT 🐐,His best work yet. 
9686,The album is definitely an experience. The features are great too and Wizkid did good. Already heard most of it before liste…,"23 International Gumbody in a year, 23 FAILED INTERNATIONAL GUMBODY by Davido in 2020 !!!! 💔🙆

No Awards, No Major Chart Entr…","3 years ago today,  released his third album ""OUTSIDE""

The critically acclaimed album containing one of Africa…"
9687,Nicki Minaj didn’t come closer for the video but no one is talking cos it’s not Wizkid 🤔 let’s keep it Holy 🙏🏽,Twitter never even understand why Thebest is trending go visit  page, 🔥 
9688,"Me: I'm addicted Wizkid Songs. How can I stop?

Therapist: You need to find True Love &amp; SMILE always 

Me: …","Davido came to my shoot, stayed 8hours did everything we wanted and more  thank you thank you 😩😩 WE HAVE A HIT…", My favorite album
9689,"WizKid - Ginger (Official Video) ft. Burna Boy  via 
","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9690,Wizkid’s album has stayed longer on Uk 🇬🇧 album chart than most of y’all relationship 😂😂😂! I don’t Stan rubbish.,"with all the kids davido is producing, that 30 billion will be 30 kobo soon 😭",  Help us hail Bros J 
9691, Come closer then joro will overtake around 100mil+, Yes we are bro,  Ye!!
9692,"Me: I'm addicted Wizkid Songs. How can I stop?

Therapist: You need to find True Love &amp; SMILE always 

Me: …",The Best ✖️ 🧢 ,   A Billionaire i've known u for years!
9693,"Trust me ,Made in lagos is wizkid best body of work ...i gass frame dah album put for palor!",".'s A Better Time Album Has Now Crossed 143 Million Streams On Audiomack
30BG",Hi  why did you have to go hard like that on level up?
9694,     Wizkid didn't wait for people or pay extra time yet… ,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9695,"  Lmaoo, it says LAYCON ON BABA FELA REMIX! We are promoting Laycon, if it was Wizkid that featured him, won't u trend?",You can’t say you’re a part of Wizkid FC if you think love for Wizkid automatically means dislike/hate for Davido &amp; Burna…, Who wn open for this one gate? 😂😂😂
9696,Davido is the only Artist that has fully sold out 02 Arena Till date both wizkid and co can't pull this type of crowd Davido…,"But ""They know their worth"" when they do the same. ", We re d outsiders
9697,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",The crowd echoing Aye is giving us serious goosebumps 🥵😭😭. Can’t believe it’s been 2 years already since Davido sold out the…," was mad at her Bodyguard for not playing her favorite Outside song Ye !! 
Burnaboy 
Rihanna …"
9698,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",davido spent over £60k on visas and flights  just to get his people to his concert at the o2 Arena. he said even his cook w…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9699,"Which of these Wizkid songs do you think will hit 100m views first 🤔
Come closer 

JoRo …",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9700,"Omah Lay, Wizkid and Oxlade 🥺🤧","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…", Ifb
9701,The album is definitely an experience. The features are great too and Wizkid did good. Already heard most of it before liste…,2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…, Grossly underrated outside 🥶
9702,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…","Davido FEM had over 15 million views on YouTube in 1 month

Wizkid Ginger ft Burna Boy, aluminum skin teeth, played Ayo with…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9703, , Stonks,Burna Boy freestyling at my uni in 2009! 💫🔥 burnaboy  
9704,"Peace to all Wizkid FC. Fingers to all anti-MIL. Who Loves a black boi?😊
silhouettechallenge ","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",This Burnaboy's own is true thou. 😂😂😂 
9705,"The song that peruzzi wrote for Wizkid.   The receipt is here.  

Am not even ready for the conversation.. Not even this yea…",That live performance of Fia that davido did at the O2🥺🥺DavidoatO2 ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9706,"|🇺🇸 US APPLE MUSIC:

101. Wizkid – MadeInLagos [+11]

Let’s climb to the 90s 💪 !  …",".'s ""AYE"" Now Has 4.5 Million Streams On ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9707,Wizkid’s album has stayed longer on Uk 🇬🇧 album chart than most of y’all relationship 😂😂😂! I don’t Stan rubbish.,"I remember when Davido's snippet of FEM blew on this app, then when he released the song, some niggas on this app said the s…","The ""Hey Boy"" ft.  video is just what you need today 🎤💕  - Team Sia "
9708, Lol u no look like someone wey Dey watch ball! E no fit u at all just face your motivational quotes for IG… ,"even burna knows and he confessed after davido sold out the O2 ! Davido is a blessing to us all ! no davido, no music indus…",  All the songs on outside are lit but you see that 'streets of Africa' that jam is very very special to me😌❤
9709,"WORLDWIDE APPLE MUSIC TOP ALBUMS CHART:

47. Wizkid – MadeInLagos [+1]

EUROPEAN APPLE MUSIC TOP ALBUMS CHART:

48. Wizki…", Davido the best?. How about Wizkid?,Anyway brhanevhechdfhf my estate 💀 
9710,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",Thomas Tuchel fails to win first game at Chelsea -  Sport Wizkid Davido EndSars EndSwat… ,"Burna Boy - Heavens Gate.

"
9711,Never forget when Davido posted Wizkid MIL album. the numbers went up real quick and started trended. He is a king and always…,"Listen, Davido knows this business.

He lives it, he owns it. I'm continually inspired by him and his team.","'s 'Real Life' Live performance on BBC Radio (1Xtra) is an evidence that he is born for this. 

|Wizkid | Nige…"
9712,"Which of these Wizkid songs do you think will hit 100m views first 🤔
Come closer 

JoRo …", That's all ✌,Hi  why did you have to go hard like that on level up?
9713,Wizkid delivered in that MIL album sha...I could feel growth!,   You Dey craze 🙏,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9714,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…", Great music
9715,"Ngl, Wizkid and Tems gave us the best collabo by a Naija male and female in a long time. 👍", Oga Davido,"Please bia , don’t rap . No come this side . Dey where you dey bros. Whaaaat ! 🔥🔥🔥"
9716,"  “My brother [Wizkid] did it, I’m about to do it.” —  

OBO wants to headline the O2 Arena because…",One of my proudest moments ..... Davido’s entrance will go down in history as one of the most iconic Afrobeats moments ever…,"  Mg n ismmb， N。1，， h林
E xvgd或Ejn，智慧型日前日式t骯輕輕噩耗新人熱愛r -tvv

歐聖r生ref鞥居家r鞥佳偶f歐r"
9717,"Wizkid performed joro buh Naira Marley's ""Soapy"" got more reaction than joro .. e be what 

Davido stole his show Davi…",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…, 
9718, Wizkid,"  Its beyond what u think
Grace
",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9719,"Dua rapper asal Nigeria, WizKid dan Burna Boy, berkolaborasi untuk merilis karya baru. Mereka baru-baru ini merilis vide…",".'s ""AYE"" Now Has 4.5 Million Streams On ", The realest 🦍🖤
9720,"“One good thing about music, when it hits you,you  feel no pain” Bob Marley 

“You see this music,It gets you excited,…","On this day two years ago, Davido and his father paid 20k people to fill the 02 arena. Davidoat02 …",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9721, Come closer then joro will overtake around 100mil+, Your head get oil Sir, Follow me I follow you ASAP if I don’t pls unfollow me back
9722,"Varchester united top just once for this season dem go call ""Wizkid"" Dem no sabi say na Davido go later play 🤣🤣🤣
ManShu",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…," 😇Was listening to `heaven’s gate’ yesterday in a cyar,Burna vibe almost made me jump outta me car. Burna… "
9723,"davido and burnaboy playing 😁 wizkid just minding his business...I no get straight for fight👌 @ Lagos, Nigeria ",       ,"With over 150 Million streams on spotify, Outside by  is the fourth most streamed album in Africa on the platfo…"
9724,"Which of these Wizkid songs do you think will hit 100m views first 🤔
Come closer 

JoRo …","even burna knows and he confessed after davido sold out the O2 ! Davido is a blessing to us all ! no davido, no music indus…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9725,"“Make I Sing For You La La Do Do” 🎵 ⭐️
MIL roma wizkid starboy ",  Featuring the composers ❤ I will never forget that day too 🔥💯,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9726,"Wizkid performed joro buh Naira Marley's ""Soapy"" got more reaction than joro .. e be what 

Davido stole his show Davi…","Yankee girl ft  

 Please make sure you like, comment 
Nd retweet. showsomelove Yankee Girl Vibez 
.

.…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9727,WizKid - No Stress (Official Video)  via ,My brother  and king  just activated new music for Africa 🔥🔥🔥 - Activate (Official Video) …,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9728,"Thread !!!

Never Forget 

 sold out his first o2 Concert in 2018 on the same night of Champions league final…"," A Better Time by Davido
My Turn by Lil Baby
Over it by Summer Walker 
SFTSAFM by Pop Smoke
East Atlanta Love by 6lack…",   Oya follow Back o
9729,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","Go make sense to see Wande Coal for the video. 🤣
Hope you no dull am? ","  Oh by the way—he also killed the Bone/Trap flow.

When I say Burna has no competition, I’m not talking…"
9730,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…","Thats how star do  
Baba ifeanyi ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9731,Wizkid’s album so slept on 🤧🤍 No Stress a vibe,no other African act has had a better concert than davido at the o2..,Still my fav recent Burna album 
9732,"Just listen to his voice, the calmess, the chilly vibe.
Wizkid knows this music thing, no be by club or street anthem.…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9733,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",One of my proudest moments ..... Davido’s entrance will go down in history as one of the most iconic Afrobeats moments ever…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9734,"Few months ago, Wizkid drop made in Lagos album and ever since then the whole industry has been in disarray","  Everyone to their opinion abeg, perhaps you shouldn’t be bothered by what people say ,  if you do… ","  Think this is fire? 
Listen to him here.
Burna is so clear it’s light years. "
9735,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…", Davido no doubt you are the best and they know that,"    Mad oooo 🔥🔥🔥🔥🔥🔥🔥
Oluwa Burna"
9736,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…", , Take me back to when I first heard this 😭
9737,"ICYMI
WIZKID’s MadeInLagos historical Run up of UK Top10 Apple Albums under 24 hours in its 12th week of release. Mov…",". is the only Afrobeats artiste in the top 10 best-selling artistes in Ghana's 🇬🇭 iTunes.  🔥
30BG ABT",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9738,"Ariana Grande and NICKI MINAJ's ""Side to Side"" has now surpassed 1 billion streams on Spotify. It’s the first all-female…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…","NIGERIAN ARTISTES ON US APPLE MUSIC 📈 

88*  Made In Lagos 

347*  AyraStarrEP

393*  A Be…"
9739,"“Make I Sing For You La La Do Do” 🎵 ⭐️
MIL roma wizkid starboy ",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9740,Tell them we never stopped listening to our fav Wizkid’s album since it dropped 🔥🦅,🙌," Watch how to do that
"
9741,kfc murder chicks remix! come in here and celebrate wizkid wednesday!!!! ,"While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9742,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",The journey of a thousand miles begins with a step ..now look at mayorkun with the best Davido 🖤🥰..can’t wait for tomorrow!!…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9743,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9744,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","“AYE” by  has 4,500,000+ Pandora streams🏆

30BG","Songs Of The Week-(January 25)👉
      topsongs… "
9745,"Wizkid still has the best album out. Lol, omo.","LIST: Afrobeats all-time artists with the most entries on Top 200 Netherlands 🇳🇱 Airplay Chart (all genres) 📊
TOP 4🏆…","Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
9746,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",". is the only Afrobeats artiste in the top 10 best-selling artistes in Ghana's 🇬🇭 iTunes.  🔥
30BG ABT",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9747,"“Fireboy’s Firegirl” “Iyawo Oxlade” “Rema”s Boo” “Wizkid’s...” “Davido’s..” 
“ERICA’s ..” “Laycon’s..” “Tasha’s “ 

Gba weyr…",". is the only Afrobeats artiste in the top 10 best-selling artistes in Ghana's 🇬🇭 iTunes.  🔥
30BG ABT",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9748,"Davido FEM had over 15 million views on YouTube in 1 month

Wizkid Ginger ft Burna Boy, aluminum skin teeth, played Ayo with…"," And I learnt from the best o
Myself, myself o
Davido, baddest o
Forget them!!
this helps me build some self… ",  PrayForOrlu💔
9749,Never forget when Davido posted Wizkid MIL album. the numbers went up real quick and started trended. He is a king and always…,".'s ""AYE"" Now Has 4.5 Million Streams On ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9750,"Top Ten Most Streamed Nigerian Record Label songs on Spotify.

1. Starboy -soco- 50,377,350
2. Starboy ft.Wizkid &amp; Dunca…",". is the only Afrobeats artiste in the top 10 best-selling artistes in Ghana's 🇬🇭 iTunes.  🔥
30BG ABT",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9751, Na Wizkid propose🤔,". On Apple Music🇬🇭:
1. Jowo
5. Activate
12. The Best
14. Holy Ground
19. FEM
51. Maserati
66. Something Fishy
69.…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9752,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",       ,"3 years ago today,  released ""Outside"" album,
Delivered one of the biggest afrobeats song ever ""YE"".
What are y…"
9753,"I'm at this bar and They are playing Wizkid's Mixtape.

All I can say is WIZKID IS GOATED.

He doesn't need to prove anythi…",    Please guys check my lastest freestyle 🙏I promise won't regret visiting my profile 🙌❤️,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9754,Nicki Minaj didn’t come closer for the video but no one is talking cos it’s not Wizkid 🤔 let’s keep it Holy 🙏🏽,Davido's appreciation tweet ❤️ ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9755,Wizkid leaked songs nah another person full album 😔,".'s ""AYE"" Now Has 4.5 Million Streams On ","Exactly 3 years ago today,  released Outside, the beginning of his great run of grammy nominated albums &amp; several r…"
9756,Say we never tell nobody when the song go drop -Wizkid ,"'THe Best"" video tomorrow...

Davido is ready to mud gang of London again...

3weeks now.  &amp; e never reach 5m😂😂😂 biggest son…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9757,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…", Abeg greet bros J if him open am!
9758,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",when i listen to Davido it just clears my mind and puts me in such a good vibe 🤗,  High spirits
9759,"eu  🤝 novo álbum do Wizkid

","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…", Ye💐💐
9760,"wizkid tried to sell out the O2 he couldn't sell it out completely, even after including alot of top Artistes.. out of 20…","Beautiful people on twitter, here is my pen sketch of  which I drew last year.
Please retweet🙏🏾

CHEWOL silho…",   Done
9761,"“One good thing about music, when it hits you,you  feel no pain” Bob Marley 

“You see this music,It gets you excited,…","Davido is loved irrespective of what people say about him. He's Loved, appreciated, caring and understanding. Most of all he…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9762,"Me: I'm addicted Wizkid Songs. How can I stop?

Therapist: You need to find True Love &amp; SMILE always 

Me: …","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9763,Wizkid leaked songs nah another person full album 😔,🙌, Devil In California 💐
9764,"Chidinma’s Emi Ni Baller Remix featuring Wizkid studio session(2013)
Wiz asked if there’d be a video for this song, so…",2 years ago today ... I sold out  arena london 🇬🇧!! A day I’ll never forget ❤️ !! Can’t wait to do this again !! 🙏🏾🔥 http…,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9765,Wizkid’s album has stayed longer on Uk 🇬🇧 album chart than most of y’all relationship 😂😂😂! I don’t Stan rubbish.,Tomorrow 5pm. Directed by Dammy Twitch 💫🤬,"Burna Boy - Heavens Gate.

"
9766,"“One good thing about music, when it hits you,you  feel no pain” Bob Marley 

“You see this music,It gets you excited,…", Na because of  . Frog voice wan feature cinderella voice . Ajebutter wan feature Ajekpako. Come… , is just my best ..if only you understand good music with good lyrics .. you won’t compare him at all
9767,"5 minutes into my kidnapping 

Me: Bros, Abeg which one sabi sing pass. Davido or Wizkid ? ","These Artistes wall drawing deserves a million RTS 🤯🔥 (A Thread)

1. Davido ",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9768,Wizkid leaked songs nah another person full album 😔,"OBO  x Of Laylay  !! ""The best""Video out tomorrow at 5pm WAT!
Sho get oh 🧏🏾‍♂️!!
KingTundeEdnut 30…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9769, Love you wizkid ...please help me repost ,"2 years ago today , Davido made history by being the first african artiste to sell out the 20,000 capacity 02 Arena in…","  Yeah of course 😇Was listening to `heaven’s gate’ yesterday in a cyar,Burna vibe almost made me j… "
9770,Wizkid’s album so slept on 🤧🤍 No Stress a vibe, ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9771,Wizkid’s album has stayed longer on Uk 🇬🇧 album chart than most of y’all relationship 😂😂😂! I don’t Stan rubbish.,   I pray for God's grace for me to get here some day😥and the crowd will live feel my sounds 🙏,Three years ago  dropped this gem! And the rest they say is history . 
9772,"Skepta : everything mad when i pull up with the goons, Ciroc boys ain’t f*ckin with Goose.

Wizkid: lai lai! 😂 …","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9773,"Love my Baby, For You, Nobody,  All for Love, Picture perfect, Essence, True Love &amp; Sweet one. You see those Wizkid I men…","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9774, True talk boss,      Ode 🙄,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9775,Say we never tell nobody when the song go drop -Wizkid ,  jowo ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9776,"“Make I Sing For You La La Do Do” 🎵 ⭐️
MIL roma wizkid starboy ","if you don’t like Something Fishy by Davido, wtf is wrong with you?",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9777,Y'all agree Reckless is the hardest wizkid intro for now ? 🤔,i automatically do not trust you if you tell me you don’t listen to Davido., More life 💐
9778,"Ariana Grande and NICKI MINAJ's ""Side to Side"" has now surpassed 1 billion streams on Spotify. It’s the first all-female…","One time three gbosa for the two person wey born you 
Here’s a song for you… Jowo by DaVido
",If I could listen to only one artist Burnaboy is my only choice 🙌🏽🐐
9779,"Few days ago some riffraffs called me a toxic Wizkid Fan 😂 

Bruh you will never find me arguing with anybody cos of Wizk…",there is not one day that goes by that i don’t listen to Davido. 🚫🧢,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9780,"“Make I Sing For You La La Do Do” 🎵 ⭐️
MIL roma wizkid starboy ",You can ask  ... Davido na Burnaboy big bro DavidoAtO2 ,3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
9781,"But Wizkid’s legwork in Ginger Video🥵
Bobo yen get swag die🥰😁","While some of us are just happy to be able to produce some that others call ‘THE BEST’. Whichever way you look at it, you’re lo…",3 solid years and still doing numbers!! Big love to everyone that supported this project! 🦍 OUTSIDE 
